cod_produto,cod_categoria,ean,nome_produto,setor_gerenciado,setor_produto,sub_categoria,segmento,sub_segmento,fabricante,fabricante_varejista,marca,marca_verejista,marca_res,marca_detalhada,atributo,embalagem,unid_medida,tamanho_produto,tamanho_medida,tamanho_range,se_oferta,qtd_itens,dcr_oferta,desc_a,desc_b,desc_c,desc_d,desc_e,desc_f,desc_g,desc_h
7896001002609,,7896001002609,ESPANADOR BETTANIN VARRE MESA,,,,,,,,BETTANIN,,,,,,,,,,,,,,,,,,,,
7891187066117,,7891187066117,PANO M USO MAXIMO 15X33 ROLO LIMP LEVE,,,,,,,,MAXIMO,,,,,,,,,,,,,,,,,,,,
7891172523311,,7891172523311,"PANO SCOTT DURAMAX C/58 ROLO, AZU",,,,,,,,SCOTT,,,,,,,,,,,,,,,,,,,,
7891172523328,,7891172523328,"PANO SCOTT DURAMAX C/58 ROLO, BCO",,,,,,,,SCOTT,,,,,,,,,,,,,,,,,,,,
7899226800838,,7899226800838,MOP UNI RETANGULAR,,,,,,,,UNILAR,,,,,,,,,,,,,,,,,,,,
7896903911207,,7896903911207,RODO MELARE 40CM LAQUEADO,,,,,,,,MELARE,,,,,,,,,,,,,,,,,,,,
7896450950025,,7896450950025,SACO LIXO ECOLIX C/10 200L,,,,,,,,ECOLIX,,,,,,,,,,,,,,,,,,,,
17891301214001,,17891301214001,SQUEEZE DERMIWIL 350ML,,,,,,,,DERMIWIL,,,,,,,,,,,,,,,,,,,,
7899686701331,,7899686701331,"ALCOOL LIQ UNI 1L LIMP 46,2% INPM",,,,,,,,UNI,,,,,,,,,,,,,,,,,,,,
7899686702734,,7899686702734,DESINF UNI LIMP 2L BACTERICIDA,,,,,,,,UNI LIMP,,,,,,,,,,,,,,,,,,,,
7891024194133,,7891024194133,DESINF PINHO SOL L500ML P450ML ORIGINAL,,,,,,,,PINHO SOL,,,,,,,,,,,,,,,,,,,,
7898462400383,,7898462400383,"DESINF BARBAREX 2L, ALGAS",,,,,,,,BARBAREX,,,,,,,,,,,,,,,,,,,,
7899449499758,,7899449499758,"DESINF BARBAREX 2L, FLOR CAMPO",,,,,,,,BARBAREX,,,,,,,,,,,,,,,,,,,,
7899449499772,,7899449499772,"DESINF BARBAREX 2L, SENSACOES",,,,,,,,BARBAREX,,,,,,,,,,,,,,,,,,,,
7898462400765,,7898462400765,"DESINF BARBAREX 2L, FLORAL",,,,,,,,BARBAREX,,,,,,,,,,,,,,,,,,,,
7898462400406,,7898462400406,"DESINF BARBAREX 2L, VIOLEX",,,,,,,,BARBAREX,,,,,,,,,,,,,,,,,,,,
7898462409201,,7898462409201,"DESINF BARBAREX 5L, ALGAS",,,,,,,,BARBAREX,,,,,,,,,,,,,,,,,,,,
7898462400345,,7898462400345,"DESINF BARBAREX 5L, VIOLEX",,,,,,,,BARBAREX,,,,,,,,,,,,,,,,,,,,
7897285605555,,7897285605555,RATOEIRA FERRO N6,,,,,,,,LAMAR,,,,,,,,,,,,,,,,,,,,
7899449497068,,7899449497068,LUSTRA MOVEIS BARBAREX 500ML TRAD,,,,,,,,BARBAREX,,,,,,,,,,,,,,,,,,,,
7899686703243,,7899686703243,LUSTRA MOVEIS UNI LIMP 200ML LAVANDA,,,,,,,,UNI LIMP,,,,,,,,,,,,,,,,,,,,
7899686703250,,7899686703250,LUSTRA MOVEIS UNI LIMP 500ML LAVANDA,,,,,,,,UNI LIMP,,,,,,,,,,,,,,,,,,,,
7896050500255,,7896050500255,OLEO PEROBA KING 100ML,,,,,,,,PEROBA,,,,,,,,,,,,,,,,,,,,
7896050503355,,7896050503355,REMOVEDOR KING 500ML TRADICIONAL,,,,,,,,KING,,,,,,,,,,,,,,,,,,,,
7896050504055,,7896050504055,REMOVEDOR KING 500ML LAVANDA,,,,,,,,KING,,,,,,,,,,,,,,,,,,,,
7896050505793,,7896050505793,REMOVEDOR KIN LIMP 1L MULTIS SUPERFICIES,,,,,,,,KIN LIMP,,,,,,,,,,,,,,,,,,,,
7898968971004,,7898968971004,REMOVEDOR DESINC PORTO CLEAN 2L DOMMI,,,,,,,,PORTO CLEAN,,,,,,,,,,,,,,,,,,,,
7896090706327,,7896090706327,REMOVEDOR ZULU 900ML 5X1 TRAD,,,,,,,,ZULU,,,,,,,,,,,,,,,,,,,,
7899226800647,,7899226800647,PANO COPA UNI C/2 ESTAMPA DIVERSA,,,,,,,,UNILAR,,,,,,,,,,,,,,,,,,,,
7899226800630,,7899226800630,KIT COPA UNI C/2 ESTAMPA DIVERSA,,,,,,,,UNILAR,,,,,,,,,,,,,,,,,,,,
7896943295794,,7896943295794,PANO COPA BENE CASA 45X65CM BISTRO SORT,,,,,,,,BENE CASA,,,,,,,,,,,,,,,,,,,,
7899751104630,,7899751104630,RALO PIA ORIGINAL 72MM INOX PREMIUM,,,,,,,,ORIGINAL,,,,,,,,,,,,,,,,,,,,
7899751104647,,7899751104647,RALO P/PIA ORIGINAL 90MM PREMIUM INOX,,,,,,,,ORIGINAL,,,,,,,,,,,,,,,,,,,,
7896359014439,,7896359014439,RODO PIA SANREMO 14CM PLASTICO,,,,,,,,SANREMO,,,,,,,,,,,,,,,,,,,,
7896098902073,,7896098902073,LAVA LOUCA GEL YPE 416G ANTIBAC CONC,,,,,,,,YPE,,,,,,,,,,,,,,,,,,,,
7891150085695,,7891150085695,LAVA LOUCA SETIMA GERACAO 420G S FRAGR,,,,,,,,SETIMA GERACAO,,,,,,,,,,,,,,,,,,,,
7896021627004,,7896021627004,LAVA LOUCA ODD 500ML COCO,,,,,,,,ODD,,,,,,,,,,,,,,,,,,,,
7896098901922,,7896098901922,DETERG YPE C/6 500ML GTS ESPONJ PERF,,,,,,,,YPE,,,,,,,,,,,,,,,,,,,,
7896098902066,,7896098902066,DETERG YPE 500ML ANTIBAC,,,,,,,,YPE,,,,,,,,,,,,,,,,,,,,
7899686702215,,7899686702215,DETERG UNI 500ML NEUTRO,,,,,,,,UNI,,,,,,,,,,,,,,,,,,,,
7896021626960,,7896021626960,LAVA LOUCA ODD 500ML NEUTRO,,,,,,,,ODD,,,,,,,,,,,,,,,,,,,,
7896021626984,,7896021626984,LAVA LOUCA ODD 500ML MACA,,,,,,,,ODD,,,,,,,,,,,,,,,,,,,,
7896021626991,,7896021626991,LAVA LOUCA ODD 500ML LIMAO,,,,,,,,ODD,,,,,,,,,,,,,,,,,,,,
7896021626977,,7896021626977,LAVA LOUCA ODD 500ML CLEAR,,,,,,,,ODD,,,,,,,,,,,,,,,,,,,,
7896098902103,,7896098902103,LAVA LOUCA YPE 500ML GREEN,,,,,,,,YPE,,,,,,,,,,,,,,,,,,,,
7898462400468,,7898462400468,LAVA LOUCA BARBAREX 5L NEUTRO,,,,,,,,BARBAREX,,,,,,,,,,,,,,,,,,,,
7896021627967,,7896021627967,LAVA LOUCA ODD 500ML BICARBONATO,,,,,,,,ODD,,,,,,,,,,,,,,,,,,,,
7898912293060,,7898912293060,SUPORTE VARAL PREND MANIA C/16 HASTE,,,,,,,,PRENDMANIA,,,,,,,,,,,,,,,,,,,,
7896017202031,,7896017202031,AMAC VINAGREEN 500ML CONC,,,,,,,,VINAGREEN,,,,,,,,,,,,,,,,,,,,
7896098902967,,7896098902967,AMAC YPE 1L CONC ANTIBAC,,,,,,,,YPE,,,,,,,,,,,,,,,,,,,,
7896098902141,,7896098902141,AMAC YPE 1L CONC GREEN,,,,,,,,YPE,,,,,,,,,,,,,,,,,,,,
7896098901229,,7896098901229,AMAC YPE C/2 500ML CONC 50% DESC 2UN,,,,,,,,YPE,,,,,,,,,,,,,,,,,,,,
7500435186841,,7500435186841,AMAC DOWNY 3L CONC FRESCOR PRIMAVERA,,,,,,,,DOWNY,,,,,,,,,,,,,,,,,,,,
7500435201278,,7500435201278,"AMAC DOWNY 1,5L CONC BRISA PERF+ INTENSO",,,,,,,,DOWNY,,,,,,,,,,,,,,,,,,,,
7891150087507,,7891150087507,AMAC COMFORT 810ML SC CONC PERFUMES BR,,,,,,,,COMFORT,,,,,,,,,,,,,,,,,,,,
7891150087491,,7891150087491,AMAC COMFORT 900ML CONC PERFUMES BRASIL,,,,,,,,COMFORT,,,,,,,,,,,,,,,,,,,,
7899449496481,,7899449496481,AMAC BARBAREX 500ML BLUE,,,,,,,,BARBAREX,,,,,,,,,,,,,,,,,,,,
7899449496634,,7899449496634,AMAC BARBAREX 1.35L LE BLUE,,,,,,,,BARBAREX,,,,,,,,,,,,,,,,,,,,
7899449496627,,7899449496627,AMAC BARBAREX 1.35L LE PASSION,,,,,,,,BARBAREX,,,,,,,,,,,,,,,,,,,,
7896098902370,,7896098902370,"AMAC YPE L1,5L P1,25L BLUE",,,,,,,,YPE,,,,,,,,,,,,,,,,,,,,
7891150048492,,7891150048492,AMAC COMFORT L500ML P400ML CONC FRES INT,,,,,,,,COMFORT,,,,,,,,,,,,,,,,,,,,
7896098901502,,7896098901502,AMAC YPE 1L CONC PINK,,,,,,,,YPE,,,,,,,,,,,,,,,,,,,,
7896098901533,,7896098901533,AMAC YPE 1L CONC LIBERDADE,,,,,,,,YPE,,,,,,,,,,,,,,,,,,,,
7896098901519,,7896098901519,AMAC YPE 1L CONC DELICADO,,,,,,,,YPE,,,,,,,,,,,,,,,,,,,,
7896098902301,,7896098902301,AMAC YPE 1L SC CONC BLUE,,,,,,,,YPE,,,,,,,,,,,,,,,,,,,,
7500435160025,,7500435160025,"AMAC DOWNY 1,350ML CONC, MISTICO",,,,,,,,DOWNY,,,,,,,,,,,,,,,,,,,,
7500435159951,,7500435159951,"AMAC DOWNY 1,350ML CONC, PAIXAO",,,,,,,,DOWNY,,,,,,,,,,,,,,,,,,,,
7500435156554,,7500435156554,"AMAC DOWNY 3L CONC, LIRIOS CAMPO",,,,,,,,DOWNY,,,,,,,,,,,,,,,,,,,,
7896098901588,,7896098901588,"AMAC YPE 1,5L CONC ENCANTO",,,,,,,,YPE,,,,,,,,,,,,,,,,,,,,
7898462400086,,7898462400086,AMAC BARBAREX 5L BLUE,,,,,,,,BARBAREX,,,,,,,,,,,,,,,,,,,,
7896098905401,,7896098905401,AMAC YPE 5L,,,,,,,,YPE,,,,,,,,,,,,,,,,,,,,
7896075910534,,7896075910534,"AMAC BABY SOFT L2L P1,8L TRAD AZUL",,,,,,,,BABY SOFT,,,,,,,,,,,,,,,,,,,,
7896098905432,,7896098905432,"AMAC YPE L5L P4,5L",,,,,,,,YPE,,,,,,,,,,,,,,,,,,,,
7898462402462,,7898462402462,AMAC BIO KRISS 2L BLUE,,,,,,,,BIO KRISS,,,,,,,,,,,,,,,,,,,,
7899449497822,,7899449497822,AMAC BIO KRISS 5L BLUE,,,,,,,,BIO KRISS,,,,,,,,,,,,,,,,,,,,
7898462404404,,7898462404404,AMAC BARBAREX 5L MAX,,,,,,,,BARBAREX,,,,,,,,,,,,,,,,,,,,
7896075990789,,7896075990789,AMAC BABY SOFT 5L TOQUE SEDUTOR,,,,,,,,BABY SOFT,,,,,,,,,,,,,,,,,,,,
7896075910046,,7896075910046,AMAC BABY SOFT 5L TOQUE CUIDADO,,,,,,,,BABY SOFT,,,,,,,,,,,,,,,,,,,,
7898462406194,,7898462406194,AMAC BARBAREX 2L WHITE,,,,,,,,BARBAREX,,,,,,,,,,,,,,,,,,,,
7898462404411,,7898462404411,AMAC BARBAREX 2L MAX,,,,,,,,BARBAREX,,,,,,,,,,,,,,,,,,,,
7898462400710,,7898462400710,AMAC BARBAREX 2L BLUE,,,,,,,,BARBAREX,,,,,,,,,,,,,,,,,,,,
7896098903032,,7896098903032,AMAC YPE 2L INTENSO,,,,,,,,YPE,,,,,,,,,,,,,,,,,,,,
7896098903445,,7896098903445,AMAC YPE 2L ACONCHEGO,,,,,,,,YPE,,,,,,,,,,,,,,,,,,,,
7896098902394,,7896098902394,AMAC YPE 2L DELICADO,,,,,,,,YPE,,,,,,,,,,,,,,,,,,,,
7899449498454,,7899449498454,AMAC BARBAREX 2L PREMIUM DREAMS,,,,,,,,BARBAREX,,,,,,,,,,,,,,,,,,,,
7896671000073,,7896671000073,ANTI MOFO LIPEX 25G ANTITRACA,,,,,,,,LIPEX,,,,,,,,,,,,,,,,,,,,
7896183303006,,7896183303006,ANTI MOFO SANOL 100G SEC NEUTRO,,,,,,,,SANOL,,,,,,,,,,,,,,,,,,,,
7896183302993,,7896183302993,ANTI MOFO SANOL 100G SEC LAVANDA,,,,,,,,SANOL,,,,,,,,,,,,,,,,,,,,
7896075911418,,7896075911418,"AMAC BABY SOFT 4,5L TOQUE CARINHO L+P-",,,,,,,,BABY SOFT,,,,,,,,,,,,,,,,,,,,
7891988002062,,7891988002062,CORANTE GUARANY 40G FIXACOR,,,,,,,,GUARANY,,,,,,,,,,,,,,,,,,,,
7891988002130,,7891988002130,CORANTE GUARANY 40G TIRACOR,,,,,,,,GUARANY,,,,,,,,,,,,,,,,,,,,
7891988038498,,7891988038498,CORANTE GUARANY 40G COLOR JEANS AZUL IND,,,,,,,,GUARANY,,,,,,,,,,,,,,,,,,,,
7891988039419,,7891988039419,"CORANTE GUARANY 40G SINTEXCOR, PRETO",,,,,,,,GUARANY,,,,,,,,,,,,,,,,,,,,
7891988039204,,7891988039204,"CORANTE GUARANY 40G SINTEXCOR, AZUL MAR",,,,,,,,GUARANY,,,,,,,,,,,,,,,,,,,,
7891988000419,,7891988000419,"CORANTE GUARANY 40G TINGECOR, PRETO",,,,,,,,GUARANY,,,,,,,,,,,,,,,,,,,,
7891988000075,,7891988000075,"CORANTE GUARANY 40G TINGECOR, AZUL",,,,,,,,GUARANY,,,,,,,,,,,,,,,,,,,,
7896183300975,,7896183300975,FACILITAD PLUSH 500ML RF,,,,,,,,PLUSH,,,,,,,,,,,,,,,,,,,,
7891150077614,,7891150077614,LAVA ROUPA LIQ OMO 450ML HIPOALERG,,,,,,,,OMO,,,,,,,,,,,,,,,,,,,,
7891150089518,,7891150089518,LAVA ROUPA LIQ OMO 900ML ORIG GTS 200ML,,,,,,,,OMO,,,,,,,,,,,,,,,,,,,,
7898462401694,,7898462401694,LAVA ROUPA BARBAREX 2L COCO,,,,,,,,BARBAREX,,,,,,,,,,,,,,,,,,,,
7896098901311,,7896098901311,LAVA ROUPA TIXAN 1L SC PRIMAV EMB ECON,,,,,,,,TIXAN,,,,,,,,,,,,,,,,,,,,
7896098901328,,7896098901328,LAVA ROUPA TIXAN 3L PRIMAV 10% DESC,,,,,,,,TIXAN,,,,,,,,,,,,,,,,,,,,
7896098901052,,7896098901052,LAVA ROUPA TIXAN 5L PRIMAVERA,,,,,,,,YPE,,,,,,,,,,,,,,,,,,,,
7898462402332,,7898462402332,LAVA ROUPA BARBAREX 3L,,,,,,,,BARBAREX,,,,,,,,,,,,,,,,,,,,
7896098902820,,7896098902820,LAVA ROUPA YPE 1L POWER ACT,,,,,,,,YPE,,,,,,,,,,,,,,,,,,,,
7896098900697,,7896098900697,LAVA ROUPA YPE 1L RF POWER ACT,,,,,,,,YPE,,,,,,,,,,,,,,,,,,,,
7509546667850,,7509546667850,"LAVA ROUPA LIQ OLA 1,75L ORIGINAL",,,,,,,,COLGATE,,,,,,,,,,,,,,,,,,,,
7898462400789,,7898462400789,LAVA ROUPAS BARBAREX 2L TRADICIONAL,,,,,,,,BARBAREX,,,,,,,,,,,,,,,,,,,,
7891150078413,,7891150078413,LAVA ROUPA LIQ OMO 900ML RF LAVANDA,,,,,,,,OMO,,,,,,,,,,,,,,,,,,,,
7896098902868,,7896098902868,LAVA ROUPA YPE 900ML RF POWER ACT,,,,,,,,YPE,,,,,,,,,,,,,,,,,,,,
7896098904053,,7896098904053,LAVA ROUPA LIQ TIXAN 900ML PRIMAVERA REF,,,,,,,,TIXAN,,,,,,,,,,,,,,,,,,,,
7891150091047,,7891150091047,LAVA ROUPA SURF 900ML RF CUIDAD COCO 5X1,,,,,,,,SURF,,,,,,,,,,,,,,,,,,,,
7891150062825,,7891150062825,LAVA ROUPA LIQ OMO 3L LAVANDA,,,,,,,,OMO,,,,,,,,,,,,,,,,,,,,
7896098904015,,7896098904015,LAVA ROUPA LIQ TIXAN 3L ANTIBAC,,,,,,,,YPE,,,,,,,,,,,,,,,,,,,,
7896098904039,,7896098904039,LAVA ROUPA LIQ TIXAN 1L RF ANTIBAC,,,,,,,,YPE,,,,,,,,,,,,,,,,,,,,
7891150091269,,7891150091269,LAVA ROUPA LIQ OMO 1.8 ULTRA POWER,,,,,,,,OMO,,,,,,,,,,,,,,,,,,,,
